	ndop
1410	1696.0
1411	1841.0
1412	
1413	1861.0
1414	1887.0
1415	1875.0
1416	1779.0
1417	
1418	
1419	
1420	
1421	1876.0
1422	1894.0
1423	1894.0
1424	1846.0
1425	1817.0
1426	1802.0
1427	
1428	1785.0
1429	1872.0
1430	1854.0
1431	1866.0
1432	1822.0
1433	1894.0
1434	1877.0
1435	1875.0
1436	1887.0
1437	1847.0
1438	1884.0
1439	1894.0
1440	1800.0
1441	1841.0
1442	1774.0
1443	1858.0
1444	1801.0
1445	1870.0
1446	1886.0
1447	1875.0
1448	1859.0
1449	1896.0
1450	1886.0
1451	1852.0
1452	1749.0
1453	1625.0
1454	1639.0
1455	1788.0
1456	1807.0
1457	1822.0
1458	1848.0
1459	1737.0
1460	1803.0
1461	1829.0
1462	
1463	1889.0
1464	1866.0
1465	1868.0
1466	1825.0
1467	1847.0
1468	1883.0
1469	1887.0
1470	1873.0
1471	1868.0
1472	1891.0
1473	1843.0
1474	1850.0
1475	1856.0
1476	1899.0
1477	1898.0
1478	1812.0
1479	1835.0
1480	1880.0
1481	1865.0
1482	1822.0
1483	1884.0
1484	1796.0
1485	1877.0
1486	
1487	1889.0
1488	1718.0
1489	1884.0
1490	1671.0
1491	1684.0
1492	
1493	1892.0
1494	1855.0
1495	1832.0
1496	1845.0
1497	1794.0
1498	1870.0
1499	1897.0
1500	1887.0
1501	1823.0
1502	
1503	1866.0
1504	1869.0
1505	1896.0
1506	1858.0
1507	1839.0
1508	1859.0
1509	1883.0
1510	1897.0
1511	
1512	
1513	1829.0
1514	1868.0
1515	1888.0
1516	1873.0
1517	1869.0
1518	
1519	1818.0
1520	1662.0
1521	1880.0
1522	
1523	1895.0
1524	1870.0
1525	1894.0
1526	1857.0
1527	1839.0
1528	1845.0
1529	1867.0
1530	1853.0
1531	1847.0
1532	1867.0
1533	1894.0
1534	1894.0
1535	1897.0
1536	1866.0
1537	1863.0
1538	1861.0
1539	1856.0
1540	
1541	1865.0
1542	1804.0
1543	1855.0
1544	1765.0
1545	1872.0
1546	1845.0
1547	1705.0
1548	1819.0
1549	1818.0
1550	1817.0
1551	1830.0
1552	1865.0
1553	1834.0
1554	1839.0
1555	1836.0
1556	1838.0
1557	1823.0
1558	1816.0
1559	1826.0
1560	1805.0
1561	1824.0
1562	1829.0
1563	1846.0
1564	1880.0
1565	1877.0
1566	1781.0
1567	1887.0
1568	1885.0
1569	1832.0
1570	1814.0
1571	1851.0
1572	1868.0
1573	1801.0
1574	1875.0
1575	1876.0
1576	1876.0
1577	
1578	1881.0
1579	1788.0
1580	
1581	1867.0
1582	1895.0
1583	1884.0
1584	1807.0
1585	1853.0
1586	1852.0
1587	1882.0
1588	
1589	1880.0
1590	1893.0
1591	1856.0
1592	1831.0
1593	1886.0
1594	1845.0
1595	
1596	1810.0
1597	1853.0
1598	1817.0
1599	1895.0
1600	1833.0
1601	1897.0
1602	1865.0
1603	1842.0
1604	
1605	
1606	1862.0
1607	1898.0
1608	1866.0
1609	
1610	1885.0
1611	1854.0
1612	1844.0
1613	1839.0
1614	1899.0
1615	1844.0
1616	1662.0
1617	1897.0
1618	1874.0
1619	1871.0
1620	1874.0
1621	1882.0
1622	1886.0
1623	1858.0
1624	
1625	1824.0
1626	1826.0
1627	1827.0
1628	1890.0
1629	1890.0
1630	1896.0
1631	
1632	
1633	
1634	1899.0
1635	1896.0
1636	1873.0
1637	
1638	1790.0
1639	1693.0
1640	1770.0
1641	1701.0
1642	1867.0
1643	1870.0
1644	1865.0
1645	1894.0
1646	1831.0
1647	1899.0
1648	1804.0
1649	1879.0
1650	1880.0
1651	1886.0
1652	
1653	1878.0
1654	1878.0
1655	1881.0
1656	1850.0
1657	1866.0
1658	1890.0
1659	1879.0
1660	1852.0
1661	1889.0
1662	
1663	1843.0
1664	1885.0
1665	1776.0
1666	1796.0
1667	
1668	1893.0
1669	1824.0
1670	1827.0
1671	1866.0
1672	1827.0
1673	1886.0
1674	1885.0
1675	
1676	1899.0
1677	1879.0
1678	1897.0
1679	1893.0
1680	1895.0
1681	1873.0
1682	1846.0
1683	
1684	
1685	1866.0
1686	1868.0
1687	1817.0
1688	1823.0
1689	1856.0
1690	1868.0
1691	1833.0
1692	1892.0
1693	1821.0
1694	1886.0
1695	1859.0
1696	1895.0
1697	1775.0
1698	1893.0
1699	1898.0
1700	1889.0
1701	1869.0
1702	1888.0
1703	
1704	1859.0
1705	1861.0
1706	1835.0
1707	1675.0
1708	1891.0
1709	1767.0
1710	1822.0
1711	1865.0
1712	1893.0
1713	1815.0
1714	1870.0
1715	1897.0
1716	1864.0
1717	1879.0
1718	
1719	1867.0
1720	1833.0
1721	1880.0
1722	1864.0
1723	1860.0
1724	1888.0
1725	1842.0
1726	1856.0
1727	1862.0
1728	1871.0
1729	1840.0
1730	1888.0
1731	1882.0
1732	1821.0
1733	
1734	1891.0
1735	1654.0
1736	1860.0
1737	
1738	
1739	1802.0
1740	
1741	1884.0
1742	1794.0
1743	1856.0
1744	1887.0
1745	1780.0
1746	1828.0
1747	1866.0
1748	1843.0
1749	1852.0
1750	1828.0
1751	1895.0
1752	1840.0
1753	1881.0
1754	1815.0
1755	1848.0
1756	1863.0
1757	1870.0
1758	
1759	1867.0
1760	
1761	1871.0
1762	1766.0
1763	
1764	1898.0
1765	1871.0
1766	1893.0
1767	1876.0
1768	1898.0
1769	1889.0
1770	1679.0
1771	1854.0
1772	1887.0
1773	1788.0
1774	1852.0
1775	1732.0
1776	1869.0
1777	1788.0
1778	1825.0
1779	1886.0
1780	1794.0
1781	1795.0
1782	1889.0
1783	1898.0
1784	1834.0
1785	1836.0
1786	1886.0
1787	
1788	1893.0
1789	1817.0
1790	1856.0
1791	1883.0
1792	
1793	1859.0
1794	1809.0
1795	1786.0
1796	1811.0
1797	1814.0
1798	
1799	1841.0
1800	1854.0
1801	1859.0
1802	
1803	
1804	1810.0
1805	1821.0
1806	1802.0
1807	1802.0
1808	1817.0
1809	1888.0
1810	1884.0
1811	1847.0
1812	1892.0
1813	1878.0
1814	1897.0
1815	1891.0
1816	
1817	1898.0
1818	1776.0
1819	1849.0
1820	1850.0
1821	1855.0
1822	1860.0
1823	1841.0
1824	1857.0
1825	
1826	1808.0
1827	
1828	1899.0
1829	1703.0
1830	1818.0
1831	1864.0
1832	1854.0
1833	1860.0
1834	1791.0
1835	1877.0
1836	1884.0
1837	1875.0
1838	1803.0
1839	1891.0
1840	1874.0
1841	1896.0
1842	1899.0
1843	1893.0
1844	1868.0
1845	1852.0
1846	1860.0
1847	1818.0
1848	1860.0
1849	1889.0
1850	1661.0
1851	1828.0
1852	1875.0
1853	1831.0
1854	
1855	1882.0
1856	1884.0
1857	1860.0
1858	1813.0
1859	1869.0
1860	1891.0
1861	1869.0
1862	1858.0
1863	1796.0
1864	1882.0
1865	1845.0
1866	1807.0
1867	1829.0
1868	1882.0
1869	1859.0
1870	1871.0
1871	1889.0
1872	1875.0
1873	1868.0
1874	1889.0
1875	1809.0
1876	1892.0
1877	1885.0
1878	1890.0
1879	1888.0
1880	1897.0
1881	1813.0
1882	1817.0
1883	1818.0
1884	1827.0
1885	1795.0
1886	1887.0
1887	1881.0
1888	
1889	1817.0
1890	1856.0
1891	1892.0
1892	1845.0
1893	
1894	1845.0
1895	1852.0
1896	1870.0
1897	1890.0
1898	1843.0
1899	1678.0
1900	
1901	1863.0
1902	1866.0
1903	1866.0
1904	1899.0
1905	1879.0
1906	1886.0
1907	1844.0
1908	1861.0
1909	1884.0
1910	1885.0
1911	1834.0
1912	1837.0
1913	1867.0
1914	1830.0
1915	1864.0
1916	
1917	
1918	1883.0
1919	1877.0
1920	1893.0
1921	
1922	1851.0
1923	1829.0
1924	1899.0
